DATOS HORARIOS 2020_NATIVITAS,,,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,,,
,,,,,,,,,,,
MES,DIA,HORA,O3 [ppm],SO2 [ppm],CO [ppm],NO2 [ppm],PM10 [µg/m³],TEMP,WS,WD,HR
DIC,15,15,0.0347,0.0025,3.309,NA,43,24.1,4.8,250,31
DIC,15,16,0.0300,0.0018,3.293,NA,72,24.4,5.0,251,26
DIC,15,17,0.0315,0.0017,3.307,NA,52,23.9,4.7,247,27
DIC,15,18,0.0280,0.0017,3.427,NA,49,22.3,3.9,255,30
DIC,15,19,0.0191,0.0018,3.531,NA,53,19.9,3.4,263,32
DIC,15,20,0.0093,0.0023,3.752,NA,59,18.0,2.8,260,35
DIC,15,21,0.0108,0.0030,3.643,NA,63,16.9,2.7,261,37
DIC,15,22,0.0096,0.0022,3.698,NA,48,15.4,2.5,258,42
DIC,15,23,0.0070,0.0024,3.763,NA,53,14.2,1.8,215,46
DIC,16,0,0.0030,0.0031,3.588,NA,63,13.3,1.7,222,51
DIC,16,1,0.0032,0.0029,3.556,NA,61,12.6,1.2,268,53
DIC,16,2,0.0018,0.0032,3.608,NA,54,11.6,1.2,203,59
DIC,16,3,0.0005,0.0035,3.586,NA,60,11.1,1.3,252,58
DIC,16,4,0.0026,0.0054,3.657,NA,52,10.2,1.2,148,60
DIC,16,5,0.0014,0.0081,3.670,NA,69,9.2,1.3,146,66
DIC,16,6,0.0005,0.0081,3.763,NA,79,8.1,1.5,100,69
DIC,16,7,0.0002,0.0080,3.550,NA,84,7.2,1.5,131,70
DIC,16,8,0.0005,0.0088,3.707,NA,89,7.9,1.6,129,70
DIC,16,9,0.0014,0.0114,3.731,NA,101,11.7,2.1,111,60
DIC,16,10,0.0063,0.0121,3.540,NA,80,16.0,2.3,111,49
DIC,16,11,0.0166,0.0155,3.389,NA,59,19.9,1.9,183,42
DIC,16,12,0.0257,0.0106,3.365,NA,38,22.4,2.0,222,31
DIC,16,13,0.0312,0.0075,3.309,NA,23,23.3,2.2,204,29
DIC,16,14,0.0365,0.0050,3.284,NA,25,24.5,2.3,234,27
DIC,16,15,0.0351,0.0037,3.296,NA,31,25.1,2.7,214,24
DIC,16,16,0.0376,0.0029,3.292,NA,26,25.1,3.5,278,23
DIC,16,17,0.0369,0.0027,3.379,NA,27,24.8,3.1,277,21
DIC,16,18,0.0317,0.0026,3.521,NA,36,23.2,3.0,280,22
DIC,16,19,0.0111,0.0039,4.618,NA,65,20.6,1.7,282,25
DIC,16,20,0.0017,0.0047,4.373,NA,97,19.6,1.9,263,26
DIC,16,21,0.0025,0.0065,4.082,NA,183,18.3,1.8,187,27
DIC,16,22,0.0088,0.0043,3.762,NA,119,17.1,2.0,252,31
DIC,16,23,0.0104,0.0033,3.609,NA,61,15.4,1.9,239,37
DIC,17,0,0.0070,0.0033,3.639,NA,61,14.0,1.3,265,41
DIC,17,1,0.0050,0.0032,3.565,NA,64,13.6,1.9,309,45
DIC,17,2,0.0013,0.0037,3.523,NA,55,12.9,1.5,231,48
DIC,17,3,0.0006,0.0040,3.523,NA,55,11.3,2.0,122,55
DIC,17,4,0.0005,0.0057,3.475,NA,73,10.3,2.0,107,57
DIC,17,5,0.0003,0.0051,3.465,NA,64,10.0,1.9,144,58
DIC,17,6,0.0002,0.0048,3.454,NA,63,9.5,2.3,133,62
DIC,17,7,0.0001,0.0067,3.454,NA,55,8.5,2.5,112,64
DIC,17,8,0.0006,0.0048,3.619,NA,62,8.8,3.3,105,66
DIC,17,9,0.0046,0.0054,3.536,NA,67,11.7,3.7,106,57
DIC,17,10,0.0138,0.0046,3.426,NA,63,15.0,3.9,107,52
DIC,17,11,0.0213,0.0052,3.451,NA,63,18.4,2.9,94,45
DIC,17,12,0.0317,0.0114,3.367,NA,63,22.0,2.2,125,37
DIC,17,13,0.0368,0.0078,3.313,NA,45,23.8,2.3,134,32
DIC,17,14,0.0390,0.0033,3.268,NA,30,24.6,2.6,149,27
DIC,17,15,0.0439,0.0028,3.287,NA,25,25.6,2.5,217,25
DIC,17,16,0.0444,0.0028,3.360,NA,27,25.4,2.4,200,24
DIC,17,17,0.0404,0.0021,3.365,NA,28,25.0,2.9,277,24
DIC,17,18,0.0362,0.0021,3.662,NA,32,22.9,2.8,301,25
DIC,17,19,0.0114,0.0029,4.709,NA,57,20.5,1.7,297,29
DIC,17,20,0.0009,0.0114,5.742,NA,156,19.7,1.7,239,31
DIC,17,21,0.0153,0.0039,3.480,NA,164,18.9,3.3,201,40
DIC,17,22,0.0210,0.0027,3.443,NA,59,17.4,3.3,263,40
DIC,17,23,0.0192,0.0025,3.489,NA,41,16.3,2.1,232,44
DIC,18,0,0.0067,0.0063,3.564,NA,54,15.9,1.7,166,47
DIC,18,1,0.0012,0.0128,3.631,NA,72,14.5,2.1,167,51
DIC,18,2,0.0046,0.0101,3.523,NA,71,13.0,2.7,111,59
DIC,18,3,0.0039,0.0057,3.424,NA,52,11.9,2.6,113,62
DIC,18,4,0.0013,0.0040,3.379,NA,44,10.7,2.5,110,66
DIC,18,5,0.0008,0.0036,3.390,NA,43,9.6,2.3,118,69
DIC,18,6,0.0002,0.0038,3.444,NA,44,9.0,2.8,96,70
DIC,18,7,0.0007,0.0035,3.434,NA,47,8.7,3.0,104,70
DIC,18,8,0.0021,0.0039,3.568,NA,64,8.4,2.8,110,69
DIC,18,9,0.0043,0.0053,3.661,NA,78,11.0,3.5,100,63
DIC,18,10,0.0080,0.0130,3.541,NA,87,14.6,2.9,122,54
DIC,18,11,0.0221,0.0048,3.350,NA,62,17.6,3.2,102,46
DIC,18,12,0.0309,0.0050,3.326,NA,51,20.9,2.5,113,40
DIC,18,13,0.0386,0.0073,3.304,NA,40,23.9,2.0,227,34
DIC,18,14,0.0464,0.0042,3.340,NA,38,25.1,2.1,236,30
DIC,18,15,0.0478,0.0031,3.370,NA,33,25.9,2.3,260,27
DIC,18,16,0.0470,0.0027,3.350,NA,36,26.1,2.5,241,26
DIC,18,17,0.0460,0.0023,3.432,NA,39,25.0,3.1,252,27
DIC,18,18,0.0396,0.0023,3.702,NA,39,23.1,3.1,288,30
DIC,18,19,0.0168,0.0026,4.190,NA,67,20.9,2.6,283,32
DIC,18,20,0.0094,0.0027,4.116,NA,89,19.5,2.5,259,34
DIC,18,21,0.0182,0.0036,3.615,NA,106,18.6,3.2,240,34
DIC,18,22,0.0202,0.0039,3.522,NA,76,17.4,3.2,258,37
DIC,18,23,0.0163,0.0026,3.609,NA,53,15.9,1.8,212,41
DIC,19,0,0.0034,0.0031,3.842,NA,58,14.7,1.8,293,42
DIC,19,1,0.0030,0.0037,3.598,NA,42,14.0,2.0,289,47
DIC,19,2,0.0006,0.0047,3.674,NA,53,12.9,1.8,246,49
DIC,19,3,0.0014,0.0051,3.559,NA,61,12.0,1.8,227,53
DIC,19,4,0.0087,0.0048,3.407,NA,54,11.5,1.6,208,57
DIC,19,5,0.0050,0.0053,3.490,NA,46,10.7,1.4,88,60
DIC,19,6,0.0003,0.0060,3.555,NA,59,9.0,1.1,174,62
DIC,19,7,0.0005,0.0063,3.732,NA,73,8.7,1.3,164,63
DIC,19,8,0.0004,0.0072,3.899,NA,99,9.1,1.3,180,62
DIC,19,9,0.0016,0.0116,4.085,NA,145,13.5,1.5,143,56
DIC,19,10,0.0098,0.0177,3.586,NA,105,16.7,1.6,134,46
DIC,19,11,0.0225,0.0102,3.724,NA,74,20.1,1.9,236,40
DIC,19,12,0.0322,0.0070,3.501,NA,64,21.7,2.5,269,35
DIC,19,13,0.0389,0.0050,3.397,NA,53,23.8,2.4,250,30
DIC,19,14,0.0464,0.0050,3.401,NA,25,24.3,3.1,284,25
DIC,19,15,0.0501,0.0039,3.344,NA,34,24.9,2.9,261,24
DIC,19,16,0.0470,0.0032,3.404,NA,36,25.6,2.8,280,22
DIC,19,17,0.0461,0.0031,3.426,NA,40,25.3,2.4,251,21
DIC,19,18,0.0421,0.0027,3.547,NA,37,23.4,2.2,282,21
DIC,19,19,0.0159,0.0043,4.783,NA,61,20.2,1.4,265,26
DIC,19,20,0.0026,0.0104,5.853,NA,161,17.8,1.2,183,28
DIC,19,21,0.0009,0.0143,9.126,NA,407,16.6,1.4,271,31
DIC,19,22,0.0004,0.0122,7.759,NA,298,15.5,1.5,228,39
DIC,19,23,0.0000,0.0101,5.952,NA,265,14.5,1.7,274,41
DIC,20,0,0.0004,0.0086,4.701,NA,139,13.2,2.3,147,44
DIC,20,1,0.0008,0.0058,3.852,NA,115,11.3,2.2,130,47
DIC,20,2,0.0005,0.0038,3.744,NA,106,10.9,2.3,131,49
DIC,20,3,0.0059,0.0035,3.535,NA,75,10.8,2.3,89,51
DIC,20,4,0.0072,0.0011,3.466,NA,53,10.5,3.1,100,54
DIC,20,5,0.0119,NA,3.380,NA,52,9.7,2.7,92,61
DIC,20,6,0.0144,NA,3.346,NA,39,9.4,2.3,90,67
DIC,20,7,0.0121,NA,3.478,NA,33,9.1,2.8,98,70
DIC,20,8,0.0104,NA,3.477,NA,40,9.3,2.8,104,72
DIC,20,9,0.0146,0.0084,3.465,NA,51,12.6,3.3,90,66
DIC,20,10,0.0236,0.0011,3.397,NA,36,15.7,3.9,100,56
DIC,20,11,0.0303,0.0006,3.355,NA,33,17.7,4.1,101,49
DIC,20,12,0.0368,0.0023,3.344,NA,28,20.2,3.5,115,41
DIC,20,13,0.0477,0.0060,3.336,NA,43,23.1,2.7,143,33
DIC,20,14,0.0525,0.0027,3.330,NA,38,24.8,2.1,160,27
DIC,20,15,0.0541,0.0016,3.378,NA,35,26.2,2.1,223,24
DIC,20,16,0.0556,NA,3.463,NA,33,26.5,2.2,240,23
DIC,20,17,0.0519,NA,3.481,NA,33,25.8,2.3,280,23
DIC,20,18,0.0469,NA,3.650,NA,30,24.1,2.1,218,23
DIC,20,19,0.0169,NA,4.755,NA,57,20.6,1.7,189,26
DIC,20,20,0.0019,0.0013,5.344,NA,89,18.6,1.5,100,31
DIC,20,21,0.0012,0.0027,5.271,NA,123,17.0,1.9,66,36
DIC,20,22,0.0186,0.0020,3.542,NA,104,16.4,3.8,77,45
DIC,20,23,0.0201,0.0005,3.483,NA,54,15.5,3.4,85,53
DIC,21,0,0.0239,NA,3.356,NA,40,15.2,4.0,86,56
DIC,21,1,0.0256,NA,3.318,NA,30,14.6,3.9,83,60
DIC,21,2,0.0251,0.0034,3.299,NA,27,13.0,4.2,85,66
DIC,21,3,0.0234,0.0031,3.290,NA,24,12.0,3.9,86,70
DIC,21,4,0.0249,0.0027,3.272,NA,26,11.5,3.6,86,72
DIC,21,5,0.0238,0.0023,3.265,NA,24,11.0,3.3,91,74
DIC,21,6,0.0223,0.0024,3.285,NA,22,10.7,3.5,88,75
DIC,21,7,0.0156,0.0024,3.415,NA,27,10.2,2.6,91,76
DIC,21,8,0.0076,0.0028,3.477,NA,33,9.8,3.0,109,78
DIC,21,9,0.0107,0.0031,3.542,NA,46,12.0,3.2,96,71
DIC,21,10,0.0207,0.0032,3.378,NA,47,14.8,4.5,93,62
DIC,21,11,0.0254,0.0027,3.387,NA,41,16.8,4.5,97,55
DIC,21,12,0.0315,0.0028,3.401,NA,34,19.2,3.6,93,48
DIC,21,13,0.0407,0.0041,3.415,NA,45,22.0,2.9,144,41
DIC,21,14,0.0520,0.0054,3.435,NA,49,24.6,1.8,204,34
DIC,21,15,0.0566,0.0041,3.476,NA,58,24.7,2.1,199,31
DIC,21,16,0.0572,0.0030,3.467,NA,82,25.1,2.0,244,30
DIC,21,17,0.0542,0.0026,3.505,NA,24,23.2,2.0,264,31
DIC,21,18,0.0504,0.0022,3.554,NA,30,22.5,1.9,261,31
DIC,21,19,0.0244,0.0040,4.900,NA,69,20.1,1.4,302,34
DIC,21,20,0.0007,0.0089,6.479,NA,146,17.9,1.0,263,37
DIC,21,21,0.0004,0.0103,9.702,NA,273,16.8,1.2,179,40
DIC,21,22,0.0004,0.0114,8.085,NA,281,15.8,1.4,179,47
DIC,21,23,0.0002,0.0085,4.896,NA,332,14.4,1.1,153,52
DIC,22,0,0.0002,0.0079,4.807,NA,204,13.7,1.7,161,55
DIC,22,1,0.0002,0.0064,4.000,NA,141,12.6,1.7,98,59
DIC,22,2,0.0000,0.0084,3.758,NA,123,12.2,2.0,108,61
DIC,22,3,0.0000,0.0042,3.653,NA,103,11.5,2.1,126,61
DIC,22,4,0.0000,0.0015,3.602,NA,85,10.9,2.2,112,63
DIC,22,5,0.0001,0.0007,3.591,NA,79,10.2,1.9,105,66
DIC,22,6,0.0001,NA,3.580,NA,69,9.4,1.6,106,68
DIC,22,7,0.0003,NA,3.740,NA,67,9.0,2.0,89,70
DIC,22,8,0.0005,NA,3.806,NA,62,9.3,2.6,84,72
DIC,22,9,0.0025,NA,3.613,NA,68,11.7,3.4,100,68
DIC,22,10,0.0048,0.0018,3.700,NA,95,14.7,3.1,94,60
DIC,22,11,0.0140,0.0064,3.572,NA,95,19.0,2.2,125,50
DIC,22,12,0.0312,0.0042,3.466,NA,70,22.7,1.6,165,39
DIC,22,13,0.0425,0.0009,3.445,NA,57,24.1,2.2,223,32
DIC,22,14,0.0496,NA,3.397,NA,44,25.3,2.3,228,28
DIC,22,15,0.0565,NA,3.395,NA,40,25.8,2.2,243,27
DIC,22,16,0.0546,NA,3.457,NA,41,26.4,2.8,253,24
DIC,22,17,0.0489,NA,3.596,NA,55,24.4,3.3,302,26
DIC,22,18,0.0441,NA,3.810,NA,49,23.2,2.6,302,27
DIC,22,19,0.0132,NA,5.520,NA,66,20.4,1.3,165,31
DIC,22,20,0.0006,NA,7.735,NA,139,18.7,1.2,84,34
DIC,22,21,0.0005,0.0094,6.751,NA,309,17.6,2.1,232,39
DIC,22,22,0.0135,NA,4.023,NA,196,17.3,2.3,249,41
DIC,22,23,0.0136,NA,4.037,NA,92,15.9,2.0,289,44
DIC,23,0,0.0092,NA,4.023,NA,87,15.3,2.1,289,46
DIC,23,1,0.0032,NA,4.002,NA,95,14.4,1.8,278,47
DIC,23,2,0.0007,0.0050,3.746,NA,89,13.5,1.8,286,46
DIC,23,3,0.0009,0.0048,3.734,NA,79,12.2,1.6,220,48
DIC,23,4,0.0004,0.0048,3.735,NA,91,11.4,1.1,291,49
DIC,23,5,0.0005,0.0046,3.788,NA,82,10.5,1.3,163,57
DIC,23,6,0.0006,0.0060,3.807,NA,89,9.5,1.5,89,57
DIC,23,7,0.0002,0.0083,3.912,NA,93,8.6,1.8,91,62
DIC,23,8,0.0004,0.0077,3.848,NA,92,8.4,1.2,156,60
DIC,23,9,0.0020,0.0083,3.828,NA,108,13.0,1.7,138,51
DIC,23,10,0.0125,0.0261,3.680,NA,106,17.6,1.8,171,43
DIC,23,11,0.0286,0.0150,3.626,NA,103,20.9,1.8,249,36
DIC,23,12,0.0454,0.0080,3.437,NA,74,23.0,2.4,259,30
DIC,23,13,0.0511,0.0044,3.418,NA,41,24.0,2.9,267,27
DIC,23,14,0.0485,0.0034,3.392,NA,34,24.7,3.5,283,24
DIC,23,15,0.0430,0.0025,3.312,NA,32,25.4,3.3,250,22
DIC,23,16,0.0470,0.0018,3.367,NA,33,25.5,3.6,262,22
DIC,23,17,0.0495,0.0016,3.431,NA,36,25.3,3.1,259,22
DIC,23,18,0.0431,0.0015,3.480,NA,43,24.2,2.6,213,21
DIC,23,19,0.0160,0.0017,3.841,NA,67,21.1,2.2,238,22
DIC,23,20,0.0110,0.0020,3.818,NA,91,19.5,2.6,240,24
DIC,23,21,0.0076,0.0029,3.957,NA,97,17.7,1.9,217,26
DIC,23,22,0.0047,0.0027,4.132,NA,73,16.6,2.6,297,28
DIC,23,23,0.0014,0.0036,4.158,NA,81,15.0,1.6,221,31
DIC,24,0,0.0005,0.0036,4.366,NA,127,13.5,1.8,217,33
DIC,24,1,0.0012,0.0036,4.206,NA,112,13.1,1.4,269,34
DIC,24,2,0.0004,0.0037,3.751,NA,85,11.6,1.4,240,38
DIC,24,3,0.0005,0.0040,4.045,NA,80,10.9,1.7,263,41
DIC,24,4,0.0010,0.0065,3.782,NA,94,9.7,1.6,86,48
DIC,24,5,0.0003,0.0077,3.643,NA,79,8.0,1.0,133,50
DIC,24,6,0.0005,0.0078,3.683,NA,69,7.9,1.1,102,52
DIC,24,7,0.0006,0.0086,4.226,NA,73,7.4,1.1,145,53
DIC,24,8,0.0005,0.0112,4.202,NA,101,7.0,2.0,116,59
DIC,24,9,0.0012,0.0150,3.998,NA,122,11.0,2.6,109,51
DIC,24,10,0.0100,0.0120,3.658,NA,102,14.9,3.5,109,43
DIC,24,11,0.0222,0.0102,3.566,NA,87,18.4,3.0,97,34
DIC,24,12,0.0348,0.0104,3.347,NA,58,22.9,1.8,192,27
DIC,24,13,0.0439,0.0173,3.525,NA,53,25.1,2.1,246,21
DIC,24,14,0.0429,0.0159,3.308,NA,69,26.0,2.3,192,16
DIC,24,15,0.0496,0.0262,3.454,NA,45,26.7,2.1,194,14
DIC,24,16,0.0491,0.0129,3.452,NA,37,27.1,2.2,221,14
DIC,24,17,0.0395,0.0038,3.473,NA,30,26.9,2.1,251,14
DIC,24,18,0.0362,0.0028,3.677,NA,31,24.8,2.5,280,15
DIC,24,19,0.0057,0.0038,5.789,NA,49,21.3,1.8,331,18
DIC,24,20,0.0137,0.0083,4.370,NA,124,18.7,4.9,59,29
DIC,24,21,0.0221,0.0074,3.529,NA,163,16.2,5.1,70,40
DIC,24,22,0.0181,0.0053,3.570,NA,155,14.1,5.1,86,48
DIC,24,23,0.0188,0.0039,3.536,NA,112,12.2,5.5,88,53
DIC,25,0,0.0212,0.0030,3.431,NA,96,10.3,6.0,83,58
DIC,25,1,0.0186,0.0037,3.497,NA,74,9.0,6.2,73,61
DIC,25,2,0.0130,0.0046,3.365,NA,68,8.1,5.6,71,64
DIC,25,3,0.0181,0.0041,3.338,NA,38,7.4,5.5,71,67
DIC,25,4,0.0243,0.0047,3.282,NA,34,6.9,5.7,71,69
DIC,25,5,0.0272,0.0066,3.286,NA,30,6.9,3.8,63,68
DIC,25,6,0.0264,0.0094,3.299,NA,29,6.5,2.7,76,69
DIC,25,7,0.0235,0.0063,3.258,NA,26,5.8,2.2,80,71
DIC,25,8,0.0233,0.0066,3.237,NA,28,5.9,2.8,89,72
DIC,25,9,0.0237,0.0062,3.194,NA,26,8.7,3.6,89,64
DIC,25,10,0.0271,0.0052,3.191,NA,23,10.5,5.4,67,57
DIC,25,11,0.0274,0.0069,3.218,NA,27,12.1,5.1,73,52
DIC,25,12,0.0285,0.0119,3.212,NA,31,14.0,4.8,72,46
DIC,25,13,0.0320,0.0083,3.249,NA,31,16.6,4.0,93,39
DIC,25,14,0.0377,0.0052,3.279,NA,29,19.0,3.3,110,34
DIC,25,15,0.0407,0.0179,3.287,NA,39,21.3,2.2,146,31
DIC,25,16,0.0448,0.0421,3.623,NA,43,23.4,1.6,181,29
DIC,25,17,0.0584,0.0411,3.934,NA,67,23.4,1.7,246,28
DIC,25,18,0.0553,0.0240,3.818,NA,64,21.9,1.9,268,30
DIC,25,19,0.0279,0.0174,4.661,NA,71,18.4,1.6,291,35
DIC,25,20,0.0011,0.0250,6.268,NA,211,16.3,1.2,229,39
DIC,25,21,0.0012,0.0257,5.925,NA,315,15.1,1.2,117,48
DIC,25,22,0.0007,0.0274,5.496,NA,452,13.5,1.5,149,50
DIC,25,23,0.0017,0.0149,4.302,NA,241,12.6,1.9,123,53
DIC,26,0,0.0063,0.0199,3.748,NA,123,11.3,2.0,127,57
DIC,26,1,0.0090,0.0107,3.598,NA,99,10.8,2.8,110,56
DIC,26,2,0.0095,0.0042,3.520,NA,75,9.7,3.1,100,57
DIC,26,3,0.0108,0.0027,3.380,NA,59,8.9,3.1,104,57
DIC,26,4,0.0144,0.0019,3.316,NA,45,8.5,2.5,101,57
DIC,26,5,0.0058,0.0017,3.363,NA,49,7.5,2.4,113,62
DIC,26,6,0.0044,0.0022,3.346,NA,52,6.9,2.6,113,63
DIC,26,7,0.0023,0.0018,3.455,NA,50,6.3,2.0,113,64
DIC,26,8,0.0006,0.0019,3.616,NA,59,6.2,1.8,113,65
DIC,26,9,0.0030,0.0027,3.617,NA,92,9.9,2.2,112,56
DIC,26,10,0.0123,0.0077,3.471,NA,89,14.0,2.2,109,46
DIC,26,11,0.0199,0.0102,3.568,NA,84,18.7,1.5,145,38
DIC,26,12,0.0333,0.0079,3.448,NA,68,21.0,3.0,266,35
DIC,26,13,0.0389,0.0029,3.319,NA,39,22.0,3.8,270,26
DIC,26,14,0.0455,0.0017,3.344,NA,39,23.2,3.7,265,24
DIC,26,15,0.0457,0.0010,3.449,NA,37,24.9,3.3,275,20
DIC,26,16,0.0441,0.0009,3.447,NA,68,25.0,3.7,285,19
DIC,26,17,0.0452,0.0006,3.414,NA,47,24.9,3.3,253,19
DIC,26,18,0.0416,NA,3.481,NA,47,23.7,2.4,237,18
DIC,26,19,0.0232,0.0020,3.978,NA,87,20.0,1.7,195,20
DIC,26,20,0.0130,0.0087,4.066,NA,173,17.8,2.1,237,24
DIC,26,21,0.0049,0.0020,4.621,NA,135,16.4,2.2,293,26
DIC,26,22,0.0049,0.0020,4.282,NA,105,14.7,1.8,245,27
DIC,26,23,0.0022,0.0032,4.806,NA,121,12.9,1.7,263,29
DIC,27,0,0.0021,0.0022,4.565,NA,102,12.4,1.8,309,33
DIC,27,1,0.0009,0.0024,4.131,NA,88,11.7,1.7,256,33
DIC,27,2,0.0012,0.0037,4.043,NA,94,10.3,1.8,128,37
DIC,27,3,0.0032,0.0043,3.572,NA,69,8.9,2.1,121,40
DIC,27,4,0.0032,0.0057,3.494,NA,56,7.3,1.8,126,46
DIC,27,5,0.0074,0.0068,3.424,NA,68,6.7,2.1,125,48
DIC,27,6,0.0058,0.0049,3.443,NA,52,6.1,1.9,115,52
DIC,27,7,0.0043,0.0218,3.539,NA,73,6.1,1.8,115,53
DIC,27,8,0.0018,0.0128,3.721,NA,83,5.7,1.9,87,53
DIC,27,9,0.0053,0.0093,3.592,NA,73,9.9,2.2,117,46
DIC,27,10,0.0120,0.0271,3.534,NA,74,13.0,2.9,101,39
DIC,27,11,0.0254,0.0189,3.409,NA,63,17.4,2.1,139,33
DIC,27,12,0.0405,0.0119,3.446,NA,63,21.2,1.9,224,26
DIC,27,13,0.0472,0.0063,3.364,NA,88,23.1,2.1,242,21
DIC,27,14,0.0470,0.0035,3.358,NA,47,24.1,2.4,264,17
DIC,27,15,0.0447,0.0022,3.267,NA,103,24.8,2.3,230,14
DIC,27,16,0.0451,0.0020,3.308,NA,38,25.4,2.0,165,12
DIC,27,17,0.0487,0.0015,3.346,NA,29,24.8,2.4,258,12
DIC,27,18,0.0462,0.0014,3.475,NA,29,23.1,1.8,243,13
DIC,27,19,0.0191,0.0037,4.964,NA,79,18.4,1.0,253,12
DIC,27,20,0.0013,0.0073,6.342,NA,181,15.2,1.2,171,18
DIC,27,21,0.0009,0.0168,8.419,NA,229,14.1,1.2,98,16
DIC,27,22,0.0004,0.0160,5.239,NA,282,12.7,1.7,113,24
DIC,27,23,0.0002,0.0123,4.467,NA,141,11.5,2.0,107,32
DIC,28,0,0.0011,0.0100,3.793,NA,102,9.9,2.6,115,35
DIC,28,1,0.0010,0.0358,3.779,NA,84,9.6,2.8,105,36
DIC,28,2,0.0059,0.0169,3.567,NA,82,8.9,2.6,108,38
DIC,28,3,0.0097,0.0093,3.400,NA,58,8.6,2.3,108,40
DIC,28,4,0.0108,0.0165,3.339,NA,48,7.7,1.9,111,43
DIC,28,5,0.0037,0.0111,3.418,NA,53,7.5,2.2,91,45
DIC,28,6,0.0067,0.0052,3.348,NA,57,6.8,2.7,79,48
DIC,28,7,0.0044,0.0044,3.385,NA,45,6.6,2.1,112,48
DIC,28,8,0.0011,0.0045,3.696,NA,54,6.3,2.3,109,50
DIC,28,9,0.0049,0.0055,3.603,NA,66,8.2,3.1,100,45
DIC,28,10,0.0073,0.0137,3.539,NA,76,10.7,2.8,113,41
DIC,28,11,0.0159,0.0110,3.496,NA,94,15.8,3.3,110,31
DIC,28,12,0.0304,0.0060,3.276,NA,55,19.3,3.7,102,23
DIC,28,13,0.0377,0.0084,3.294,NA,44,21.8,3.6,109,19
DIC,28,14,0.0431,0.0086,3.263,NA,44,23.9,3.3,118,15
DIC,28,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIC,28,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIC,28,17,0.0533,0.0095,3.342,NA,28,25.8,2.2,160,9
DIC,28,18,0.0511,0.0077,3.446,NA,36,23.8,2.4,147,10
DIC,28,19,0.0136,0.0079,5.416,NA,114,19.1,1.6,222,10
DIC,28,20,0.0005,0.0121,8.002,NA,179,16.6,1.7,267,11
DIC,28,21,0.0008,0.0249,6.978,NA,163,14.6,1.3,249,13
DIC,28,22,0.0004,0.0167,4.906,NA,223,13.1,2.3,100,22
DIC,28,23,0.0055,0.0082,3.561,NA,99,12.7,3.3,108,24
DIC,29,0,0.0095,0.0080,3.521,NA,64,12.1,3.4,80,24
DIC,29,1,0.0084,0.0046,3.388,NA,53,9.7,2.7,124,29
DIC,29,2,0.0091,0.0114,3.348,NA,45,8.5,2.5,115,34
DIC,29,3,0.0067,0.0098,3.362,NA,48,8.2,2.7,105,37
DIC,29,4,0.0069,0.0023,3.402,NA,50,7.9,3.4,99,39
DIC,29,5,0.0036,0.0023,3.445,NA,48,6.6,2.6,80,44
DIC,29,6,0.0007,0.0020,3.447,NA,51,5.8,2.0,77,49
DIC,29,7,0.0006,0.0036,3.644,NA,48,5.4,1.8,58,49
DIC,29,8,0.0007,0.0086,3.696,NA,64,6.0,2.2,97,53
DIC,29,9,0.0032,0.0090,3.665,NA,83,8.7,2.8,105,51
DIC,29,10,0.0118,0.0064,3.464,NA,72,11.3,4.5,105,41
DIC,29,11,0.0207,0.0047,3.325,NA,55,15.1,3.3,109,34
DIC,29,12,0.0297,0.0102,3.464,NA,67,19.7,2.1,200,30
DIC,29,13,0.0385,0.0052,3.446,NA,66,22.0,3.2,277,28
DIC,29,14,0.0469,0.0037,3.401,NA,47,22.9,3.5,272,26
DIC,29,15,0.0522,0.0026,3.388,NA,42,23.3,3.7,261,24
DIC,29,16,0.0558,0.0019,3.384,NA,42,23.9,3.3,248,20
DIC,29,17,0.0550,0.0012,3.411,NA,40,23.6,3.3,261,19
DIC,29,18,0.0507,0.0011,3.584,NA,45,22.3,2.7,262,21
DIC,29,19,0.0293,0.0017,4.016,NA,60,19.1,2.3,272,25
DIC,29,20,0.0046,0.0050,5.307,NA,103,17.2,2.0,269,28
DIC,29,21,0.0008,0.0112,5.309,NA,211,15.5,1.9,221,31
DIC,29,22,0.0180,0.0060,3.781,NA,164,15.1,2.6,212,34
DIC,29,23,0.0167,0.0023,3.698,NA,82,13.9,1.7,189,37
DIC,30,0,0.0114,0.0024,3.817,NA,52,12.8,1.6,212,39
DIC,30,1,0.0061,0.0047,3.658,NA,51,12.0,1.9,309,42
DIC,30,2,0.0081,0.0035,3.619,NA,51,10.8,1.3,264,42
DIC,30,3,0.0039,0.0038,3.663,NA,57,10.0,1.3,287,44
DIC,30,4,0.0019,0.0036,3.670,NA,58,9.4,1.5,248,48
DIC,30,5,0.0010,0.0046,3.631,NA,63,9.0,1.5,301,51
DIC,30,6,0.0009,0.0048,3.699,NA,63,7.7,1.4,232,54
DIC,30,7,0.0006,0.0044,3.837,NA,58,7.4,1.5,244,56
DIC,30,8,0.0007,0.0045,4.155,NA,70,7.2,1.3,178,59
DIC,30,9,0.0010,0.0067,4.273,NA,114,11.0,1.9,110,52
DIC,30,10,0.0059,0.0083,3.686,NA,109,15.1,1.8,104,45
