generated_class,expected_prob
A,0.25
D,0.22
B,0.2
D,0.22
A,0.25
B,0.2
E,0.15
B,0.2
C,0.18
E,0.15
E,0.15
D,0.22
D,0.22
D,0.22
A,0.25
A,0.25
C,0.18
B,0.2
A,0.25
E,0.15
C,0.18
E,0.15
B,0.2
A,0.25
A,0.25
B,0.2
B,0.2
B,0.2
D,0.22
D,0.22
D,0.22
A,0.25
A,0.25
C,0.18
E,0.15
A,0.25
D,0.22
E,0.15
D,0.22
B,0.2
B,0.2
B,0.2
B,0.2
A,0.25
A,0.25
E,0.15
B,0.2
C,0.18
A,0.25
A,0.25
A,0.25
E,0.15
A,0.25
D,0.22
D,0.22
C,0.18
C,0.18
B,0.2
D,0.22
C,0.18
A,0.25
A,0.25
A,0.25
A,0.25
A,0.25
D,0.22
B,0.2
B,0.2
C,0.18
C,0.18
E,0.15
A,0.25
C,0.18
B,0.2
B,0.2
D,0.22
A,0.25
B,0.2
D,0.22
D,0.22
D,0.22
E,0.15
D,0.22
B,0.2
E,0.15
E,0.15
E,0.15
E,0.15
D,0.22
C,0.18
D,0.22
A,0.25
A,0.25
E,0.15
B,0.2
A,0.25
C,0.18
D,0.22
C,0.18
A,0.25
D,0.22
A,0.25
D,0.22
A,0.25
B,0.2
A,0.25
B,0.2
E,0.15
C,0.18
B,0.2
E,0.15
B,0.2
D,0.22
D,0.22
C,0.18
A,0.25
A,0.25
B,0.2
B,0.2
D,0.22
B,0.2
E,0.15
A,0.25
A,0.25
C,0.18
E,0.15
C,0.18
A,0.25
D,0.22
B,0.2
B,0.2
B,0.2
A,0.25
D,0.22
A,0.25
D,0.22
B,0.2
A,0.25
E,0.15
B,0.2
B,0.2
A,0.25
C,0.18
B,0.2
A,0.25
A,0.25
D,0.22
A,0.25
D,0.22
E,0.15
A,0.25
B,0.2
D,0.22
B,0.2
D,0.22
A,0.25
D,0.22
A,0.25
D,0.22
A,0.25
B,0.2
C,0.18
E,0.15
A,0.25
A,0.25
A,0.25
B,0.2
B,0.2
B,0.2
C,0.18
B,0.2
E,0.15
B,0.2
A,0.25
E,0.15
B,0.2
E,0.15
B,0.2
B,0.2
A,0.25
D,0.22
D,0.22
D,0.22
E,0.15
B,0.2
E,0.15
A,0.25
D,0.22
B,0.2
D,0.22
E,0.15
A,0.25
A,0.25
B,0.2
C,0.18
B,0.2
B,0.2
C,0.18
B,0.2
B,0.2
D,0.22
D,0.22
B,0.2
B,0.2
E,0.15
C,0.18
D,0.22
E,0.15
D,0.22
C,0.18
D,0.22
B,0.2
A,0.25
E,0.15
A,0.25
B,0.2
A,0.25
D,0.22
C,0.18
D,0.22
D,0.22
A,0.25
B,0.2
A,0.25
B,0.2
A,0.25
D,0.22
D,0.22
C,0.18
D,0.22
C,0.18
E,0.15
B,0.2
D,0.22
D,0.22
C,0.18
A,0.25
D,0.22
B,0.2
A,0.25
B,0.2
A,0.25
A,0.25
D,0.22
B,0.2
B,0.2
A,0.25
B,0.2
D,0.22
A,0.25
C,0.18
A,0.25
C,0.18
D,0.22
D,0.22
D,0.22
D,0.22
C,0.18
C,0.18
D,0.22
D,0.22
E,0.15
C,0.18
C,0.18
C,0.18
A,0.25
B,0.2
B,0.2
E,0.15
D,0.22
C,0.18
B,0.2
B,0.2
B,0.2
E,0.15
E,0.15
A,0.25
C,0.18
A,0.25
A,0.25
E,0.15
E,0.15
C,0.18
C,0.18
A,0.25
E,0.15
B,0.2
B,0.2
A,0.25
D,0.22
A,0.25
A,0.25
D,0.22
B,0.2
B,0.2
A,0.25
D,0.22
C,0.18
E,0.15
A,0.25
A,0.25
B,0.2
A,0.25
C,0.18
C,0.18
B,0.2
C,0.18
E,0.15
B,0.2
A,0.25
B,0.2
A,0.25
E,0.15
D,0.22
C,0.18
A,0.25
A,0.25
E,0.15
D,0.22
A,0.25
D,0.22
